事件,參數,參數值,參數值說明,頁面,觸發時機,Android埋設,Android進版號,iOS埋設,iOS進版號,
,referral,banner/首頁/deeplink/notifications/app_notification/quests,開啟任務頁的來源,,,true,5.1.0,true,5.1.0,
quset_shadow_click,name,OooPEN圖書館,任務名稱,剪影遊戲頁,點擊掃描icon，且裝置已開放相機權限，成功開啟掃描頁面後送出,true,5.1.0,true,5.1.0,
,id,1,主任務id,,,true,5.1.0,true,5.1.0,
,position_name,勇敢小火車,送items的title(剪影名稱)
"position_name": "勇敢小火車",,,true,5.1.0,true,5.1.0,
quest_badge_click,name,OooPEN圖書館,任務名稱,剪影遊戲頁,剪影掃描成功，點選『聽故事』後送出。position_type會依照使用者身份而送出不同的值,true,5.1.0,true,5.1.0,
,id,1,主任務id,,,true,5.1.0,true,5.1.0,
,position_name,勇敢小火車,送items的title(剪影名稱)
"position_name": "勇敢小火車",,,true,5.1.0,true,5.1.0,
,position_type,播放試聽
停止試聽
前往專輯頁,訪客、一般會員：依點擊狀況，送出”播放試聽”與”停止試聽”
免費會員、VIP會員：送出”前往專輯頁”,,,true,5.1.0,true,5.1.0,
quset_shadow_finish,name,OooPEN圖書館,主任務名稱,剪影遊戲頁,完成所有掃描任務，跳出popup後，點選『確認』後送出事件,true,5.1.0,true,5.1.0,
,id,1,主任務id,,,true,5.1.0,true,5.1.0,
quest_award_click,name,OooPEN圖書館,主任務名稱,剪影遊戲頁,點擊領取獎勵按鍵後，在dailog點選『我是工作人員』後送出事件,true,5.1.0,true,5.1.0,
,id,1,主任務id,,,true,5.1.0,true,5.1.0,
quest_award_download,name,OooPEN圖書館,主任務名稱,剪影遊戲頁_獎狀下載頁,完成所有掃描任務，點選領取角色著色紙後，點選『儲存』，且裝置已開放相簿權限後送出事件。,true,5.1.0,true,5.1.0,
,id,1,主任務id,,,true,5.1.0,true,5.1.0,
cardlist_click,position_type,特別活動,同screen view：特別活動,特別活動頁或主題策展頁,點擊UI_Type：
cardList時觸發,true,4.28.0,true,4.28.0,
,,主題策展,同screen view：主題策展,,,true,,true,,
,position_name,怪傑佐羅力闖關活動,取得title的名稱,,,true,,true,,
,title,一起做運動,取得data下title的值,,,true,,true,,
,target_type,album,導轉的類型，參考deeplink data schema,,,true,,true,,
,target_name,小卡片的標題,如果點擊小卡片：
取得items下的title的值
如果點擊more：
取得data下title的值,,,true,,true,,
,target_id,123,導轉類型的id(如album id),,,true,,true,,
bind,method,fb,Facebook,會員頁,點選社群帳號綁定時觸發,true,4.19.7,true,4.19.4,
,,apple,Apple,,,,,,,
,,google,google,,,,,,,
,,line,line,,,,,,,
unbind,method,fb,Facebook,會員頁,點選社群帳號解除綁定時觸發,true,4.19.7,true,4.19.4,
,,apple,Apple,,,,,,,
,,google,google,,,,,,,
,,line,line,,,,,,,
share_click,position_type,專輯頁,分享的來源頁,專輯頁/策展清單頁/個人播放清單頁,點擊分享鍵,true,4.21.0,true,4.21.0,
,,策展清單頁,,,,true,4.21.0,true,4.21.0,
,,播放清單頁,,,,true,4.29.0,true,4.29.0,
,position_name,晚安故事摩天輪 12(專輯名稱)
歡迎來到恐龍世界(策展清單名稱)
蝦蝦的播放清單(個人播放清單名稱),專輯/策展清單/個人播放清單的名稱,,,true,5.4.3,true,4.29.0,
share_list_click,method,複製連結,選擇分享的方式,分享清單,點擊分享列表中的分享方式,true,4.29.0,true,4.29.0,
,,line,,,,,,,,
,,更多,,,,,,,,
,position_type,專輯頁,分享的來源頁,,,true,4.29.0,true,4.29.0,
,,策展清單頁,,,,true,4.29.0,true,4.29.0,
,,播放清單頁,,,,true,4.29.0,true,4.29.0,
,position_name,晚安故事摩天輪 12(專輯名稱)
歡迎來到恐龍世界(策展清單名稱)
蝦蝦的播放清單(個人播放清單名稱),專輯/策展清單/個人播放清單的名稱,,,true,5.4.3,true,4.29.6,
shared_playlist_view,id,123,個人播放清單id,開啟別人的播放清單,點擊別人的播放清單連結，並在APP內開啟,true,4.29.0,true,4.29.0,
,name,蝦蝦的播放清單,個人播放清單名稱,,,true,4.29.0,true,4.29.0,
app_link_open,position_type,deeplink,開啟app的導轉類型,網址對應頁面,從外部點擊連結開啟APP時,false,,true,4.23.0,
,,dynamiclink,,,,,,,,
,,universalLink,,,,,,,,
,,shortcut,,,,,,,,
,position_name,https://storytime.app.link/gqwOyeFC1zb,開啟APP的網址,,,false,,true,4.23.0,
,referral,warm,冷啟動,,,false,,true,4.25.6,
,,cold,熱啟動,,,false,,true,4.25.6,
,,intent,siri啟動,,,false,,true,4.25.6,
dialog_impression,無參數,,,,出現評論dailog,false,,true,4.25.6,
v5.0.0 首頁改版,,,,,,,,,,
labelCardList_click,position_page,首頁,把screen_view帶進去
(GA4報表拉參數：網頁標題與畫面名稱),首頁,點擊ui_type：labelCardList時觸發。目前規劃運用在首頁、闖關任務、主題策展,true,5.0.0,true,5.0.0,
,,闖關任務頁,,闖關任務頁,,false,5.0.0,false,5.0.0,
,,主題策展頁,,主題策展頁,,false,5.0.0,true,5.0.0,
,position_type,最新上架,將title送到posotion_type,首頁,,true,5.0.0,true,5.0.0,
,,我的最愛,,首頁,,true,5.0.0,true,5.0.0,
,id,46,送item的target(專輯id or 播放清單id)
